# Name	Time [MJD]	Ra [rad]	Dec [rad]	z	dL [Mpc]	Type	GM2.0_pre_p	GM2.0_post_p	GM2.5_pre_p	GM2.5_post_p	GM3.0_pre_p	GM3.0_post_p	LLGRB_PE_pre_p	LLGRB_PE_post_p	ULGRB_CS_pre_p	ULGRB_CS_post_p	LPGRB_nu_Attn_pre_p	LPGRB_nu_Attn_post_p
SNF20080512-003	54597.5	4.44593538124689	0.637433027922818	unk	unk	Ic	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SNF20080610-004	54626.5	4.05221819081783	-0.011990411961201	unk	unk	Ib	0.162	0.995	0.133	0.986	0.117	0.976	0.2	0.999	0.149	0.992	0.134	0.987
SN2008dq	54641.5	4.21518830972281	0.967384614130259	0.0314	142.3	Ic	0.573	1.0	0.586	1.0	0.592	1.0	0.546	1.0	0.57	1.0	0.581	1.0
SNF20080629-000	54645.5	0.03548836145721802	0.4880852038296631	unk	unk	Ibc	0.248	1.0	0.225	1.0	0.214	0.999	0.287	1.0	0.239	1.0	0.227	1.0
SN2008du	54646.5	6.00480529148649	0.0685303530795574	0.016	71.7	Ic	0.767	1.0	0.762	1.0	0.763	1.0	0.747	1.0	0.763	1.0	0.762	1.0
SN2008dv	54647.5	0.950549943867412	1.26663294991303	0.0074	33.1	Ic	0.418	1.0	0.408	1.0	0.4	1.0	0.43	1.0	0.422	1.0	0.415	1.0
SN2008eb	54653.5	4.76416708152719	0.261462927104459	0.0076	38.0	Ib	0.361	1.0	0.365	1.0	0.362	1.0	0.357	1.0	0.362	1.0	0.363	1.0
SNF20080719-004	54665.5	0.1256637061435917	0.05990648731998092	unk	unk	Ibc	0.683	1.0	0.66	1.0	0.626	1.0	0.698	1.0	0.685	1.0	0.665	1.0
SN2008ew	54687.5	4.44397188583839	0.349831856015019	0.02	90.0	Ic	0.483	1.0	0.479	1.0	0.469	1.0	0.488	1.0	0.481	1.0	0.48	1.0
SN2008fn	54687.5	4.283983371072248	0.646843261473154	0.0298	135.533	Ibc	0.141	0.989	0.14	0.989	0.137	0.988	0.148	0.992	0.14	0.989	0.14	0.989
SN2008fo	54697.5	4.36419579461182	0.693457127284474	0.027	122.0	Ic	0.4	1.0	0.413	1.0	0.422	1.0	0.385	1.0	0.391	1.0	0.404	1.0
