# Name	Time [MJD]	Ra [rad]	Dec [rad]	z	dL [Mpc]	Type	GM2.0_pre_p	GM2.0_post_p	GM2.5_pre_p	GM2.5_post_p	GM3.0_pre_p	GM3.0_post_p	LLGRB_PE_pre_p	LLGRB_PE_post_p	ULGRB_CS_pre_p	ULGRB_CS_post_p
SN2010eh	55359.5	5.44644537495264	-0.101292122394215	0.02	90.0	Ic	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SN2010md	55367.5	4.35365109704769	0.108367008442647	0.0987	468.8	SLSN-I	0.657	1.0	0.704	1.0	0.734	1.0	0.585	1.0	0.667	1.0
SN2010gd	55384.5	4.70228061513356	0.485725615643703	0.0235	106.4	Ic	0.3	1.0	0.301	1.0	0.301	1.0	0.3	1.0	0.299	1.0
SN2010gk	55393.5	3.67653606932605	0.567380844698258	0.0145	64.88	Ic	0.807	1.0	0.807	1.0	0.805	1.0	0.794	1.0	0.81	1.0
SN2010gr	55405.5	0.67187903996565	0.774006011518737	0.0169	75.76	Ic	0.174	0.999	0.162	0.998	0.148	0.997	0.198	1.0	0.178	0.999
PTF10qts	55420.5	4.37044989109813	0.505666002347738	0.0907	428.5	Ic BL	0.2	1.0	0.211	1.0	0.218	1.0	0.189	0.999	0.201	1.0
SN2010hy	55446.5	4.97222487277535	0.338719441630307	0.1901	955.84	Super-Luminous Ic	0.958	1.0	0.96	1.0	0.961	1.0	0.955	1.0	0.957	1.0
PTF10vgv	55452.5	5.82947242371323	0.713273886499826	0.015	67.1	Ic BL	0.039	0.759	0.037	0.742	0.035	0.727	0.041	0.78	0.04	0.77
SN2010ik	55455.5	0.052868931924994894	0.7287942268731855	0.025	113.303	Ib/c-pec	0.712	1.0	0.738	1.0	0.757	1.0	0.673	1.0	0.708	1.0
SN2010if	55464.5	5.95920856477814	0.194282295313111	0.039	178.0	Ib	0.01	0.315	0.012	0.356	0.013	0.377	0.009	0.28	0.011	0.332
SN2010ig	55466.5	0.483528924854596	0.568099338573662	0.0378	172.9	Ib	0.825	1.0	0.813	1.0	0.802	1.0	0.838	1.0	0.824	1.0
SN2010il	55467.5	5.366378395517398	-0.03822610431444358	0.0189	85.271	Ib/c	0.524	1.0	0.547	1.0	0.559	1.0	0.499	1.0	0.529	1.0
SN2010io	55468.5	2.28354516007808	0.79828451104134	0.0065	29.0	Ic	0.469	1.0	0.483	1.0	0.494	1.0	0.452	1.0	0.463	1.0
PTF10acbu	55471.5	3.66860936563991	1.03564201710735	0.00988	44.042	Ic	0.634	1.0	0.675	1.0	0.719	1.0	0.581	1.0	0.65	1.0
SN2010iq	55479.5	5.7350792000012	0.26451725329545	0.0245	110.5	Ic	0.195	1.0	0.203	1.0	0.213	1.0	0.191	1.0	0.203	1.0
SN2010is	55480.5	6.105307167580497	0.4547174174136182	0.0209	94.435	Ib/c	0.222	1.0	0.199	1.0	0.185	0.999	0.25	1.0	0.224	1.0
