# Name	Time [MJD]	Ra [rad]	Dec [rad]	z	dL [Mpc]	Type	GM2.0_pre_p	GM2.0_post_p	GM2.5_pre_p	GM2.5_post_p	GM3.0_pre_p	GM3.0_post_p	LLGRB_PE_pre_p	LLGRB_PE_post_p	ULGRB_CS_pre_p	ULGRB_CS_post_p	LPGRB_nu_Attn_pre_p	LPGRB_nu_Attn_post_p
PTF12cde	56068.5	3.66068266195377	0.632518956451092	0.0125	55.85	Ib/c	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SN2012cw	56092.5	2.6782077371853	0.0599355761408475	0.00449	19.922	Ic	0.951	1.0	0.954	1.0	0.953	1.0	0.948	1.0	0.953	1.0	0.954	1.0
SN2012dp	56095.5	4.19133547661222	0.273746651342732	0.0359	163.2	Ib	0.557	1.0	0.526	1.0	0.5	1.0	0.591	1.0	0.554	1.0	0.536	1.0
SN2012fh	56122.5	2.80808932235454	0.434436691505444	0.00194	8.576	IIb/Ib/Ic	0.631	1.0	0.598	1.0	0.581	1.0	0.675	1.0	0.622	1.0	0.6	1.0
LSQ12dyw	56124.5	6.149740341454186	-0.12896237842986102	0.09	426.925	Ic-pec?	0.222	1.0	0.271	1.0	0.339	1.0	0.205	1.0	0.303	1.0	0.303	1.0
PTF12gvr	56127.5	4.21155220711448	0.531777582398617	0.056	258.0	Ib/c	0.483	1.0	0.43	1.0	0.386	1.0	0.532	1.0	0.495	1.0	0.444	1.0
SN2012dx	56145.5	5.04960113628043	0.583466962637472	0.0149	66.69	Ib	0.707	1.0	0.684	1.0	0.664	1.0	0.729	1.0	0.704	1.0	0.689	1.0
PTF12hni	56146.5	5.89892198353217	-0.118629059630692	0.1056	503.82	Ic	0.63	1.0	0.637	1.0	0.651	1.0	0.642	1.0	0.624	1.0	0.633	1.0
PTF12gzk	56150.5	5.81500073533211	0.00893560095652986	0.01377	61.582	Ic Pec	0.83	1.0	0.798	1.0	0.79	1.0	0.876	1.0	0.81	1.0	0.799	1.0
SN2012ek	56156.5	4.88903084509695	0.630439105759132	0.02856	129.154	Ib	0.574	1.0	0.579	1.0	0.587	1.0	0.55	1.0	0.567	1.0	0.577	1.0
LSQ12elq	56158.5	5.376704926925031	0.025965166319183417	unk	unk	Ic?	0.213	1.0	0.208	1.0	0.204	1.0	0.217	1.0	0.2	1.0	0.2	1.0
SN2012ej	56162.5	1.68795155283502	1.03121130487569	0.0089	39.7	Ic	0.382	1.0	0.427	1.0	0.469	1.0	0.308	1.0	0.386	1.0	0.425	1.0
PTF12hvv	56165.5	5.69748189903116	-0.00099444982269188	0.029	131.817	Ib/c	0.715	1.0	0.71	1.0	0.708	1.0	0.732	1.0	0.709	1.0	0.705	1.0
CSS120914:215710+055647	56183.5	5.74722378271299	0.103784549528799	0.05	230.0	Ic	0.99	1.0	0.989	1.0	0.987	1.0	0.988	1.0	0.99	1.0	0.99	1.0
SN2012ex	56185.5	0.34368441853855	0.26170339469029	0.0229	103.1	Ib	0.766	1.0	0.765	1.0	0.774	1.0	0.775	1.0	0.749	1.0	0.757	1.0
LSQ12ffm	56188.5	1.3787373870233537	0.15259074280609644	0.15	739.449	Ic?	0.255	1.0	0.273	1.0	0.283	1.0	0.236	1.0	0.261	1.0	0.269	1.0
PSN J01232438+0925545	56215.5	0.3639011490408176	0.16461606135233736	0.00758	33.91	Ib/c	0.048	1.0	0.041	1.0	0.037	1.0	0.058	1.0	0.044	1.0	0.041	1.0
LSQ12fnt	56219.5	0.928006107695818	-0.0207063923201883	0.019	85.3	Ic	0.243	1.0	0.243	1.0	0.231	1.0	0.241	1.0	0.248	1.0	0.243	1.0
SN2012gh	56225.5	4.39328461547839	0.992245859697556	0.07	330.0	Ic	0.998	1.0	0.998	1.0	0.997	1.0	0.997	1.0	0.998	1.0	0.998	1.0
MLS121104:021643+204009	56234.5	0.5965389939212284	0.36074501197679465	0.303	1625.891	Ic-pec	0.993	1.0	0.995	1.0	0.995	1.0	0.992	1.0	0.993	1.0	0.994	1.0
LSQ12gbt	56236.5	0.39342630222038844	0.16385538868667654	0.07	327.575	Ibc	0.187	1.0	0.182	1.0	0.179	1.0	0.189	1.0	0.196	1.0	0.19	1.0
SN2012gi	56245.5	5.79827466333383	0.704065820254513	0.0242	109.1	Ic	0.713	1.0	0.711	1.0	0.702	1.0	0.716	1.0	0.714	1.0	0.71	1.0
CSS121204:033907-064917	56264.5	0.95607681983206	-0.119055695670069	0.03	140.0	Ib	0.382	1.0	0.416	1.0	0.436	1.0	0.347	1.0	0.403	1.0	0.417	1.0
CSS121210:112615+144039	56270.5	2.99433049795277	0.256170700961468	0.09	420.0	Ic	0.667	1.0	0.674	1.0	0.684	1.0	0.658	1.0	0.674	1.0	0.676	1.0
PS1-12bqf	56270.5	0.632318243587112	-0.0844677301814073	0.522	3073.0	Ic	0.387	1.0	0.365	1.0	0.352	1.0	0.411	1.0	0.372	1.0	0.366	1.0
SN2012ib	56280.5	3.9440804992463523	0.7350517170552664	0.01687	76.007	Ib/c	0.489	1.0	0.499	1.0	0.5	1.0	0.491	1.0	0.481	1.0	0.493	1.0
SN2013J	56314.5	2.9357892459588	0.489951251688254	0.034	154.0	Ic	0.399	1.0	0.413	1.0	0.439	1.0	0.396	1.0	0.405	1.0	0.414	1.0
PSN J12393328+1525520	56344.5	3.31416208338073	0.269323696129969	0.072	336.0	Ic	0.208	1.0	0.23	1.0	0.243	1.0	0.185	1.0	0.21	1.0	0.224	1.0
SN2013ez	56362.5	0.7592909466696998	0.23379509513721927	0.597	3622.384	Ic	0.538	1.0	0.526	1.0	0.513	1.0	0.548	1.0	0.535	1.0	0.523	1.0
LSQ13th	56383.5	2.4819309183881026	-0.06131147736783636	0.056	259.52	Ib/c	0.757	1.0	0.776	1.0	0.782	1.0	0.749	1.0	0.762	1.0	0.77	1.0
PSN J12184129+1143531	56387.5	3.22311407406836	0.20475136194299	0.04	180.0	Ib	0.177	1.0	0.172	1.0	0.165	1.0	0.186	1.0	0.175	1.0	0.174	1.0
SN2013bk	56388.5	2.5342180738957665	-0.09488724885307727	0.02	90.308	Ic	0.553	1.0	0.59	1.0	0.616	1.0	0.519	1.0	0.551	1.0	0.579	1.0
SN2013bl	56388.5	2.2961987971550397	0.7256691178847535	0.03036	138.155	Ibc	0.706	1.0	0.699	1.0	0.694	1.0	0.711	1.0	0.718	1.0	0.709	1.0
SN2013bv	56390.5	2.27481851381811	0.920226302555054	0.06	280.0	Ic	0.734	1.0	0.745	1.0	0.744	1.0	0.716	1.0	0.741	1.0	0.744	1.0
LSQ13abf	56396.5	3.09410515352511	0.334573363510827	0.02	90.0	Ic	0.895	1.0	0.898	1.0	0.895	1.0	0.888	1.0	0.893	1.0	0.895	1.0
SN2013bn	56405.5	3.0893782201343	0.952555133252481	0.0545	251.1	Ic BL	0.935	1.0	0.952	1.0	0.963	1.0	0.905	1.0	0.938	1.0	0.949	1.0
SN2013co	56417.5	3.3852842503995	0.532526619535931	0.04972	228.315	Ic	0.679	1.0	0.711	1.0	0.737	1.0	0.644	1.0	0.677	1.0	0.704	1.0
CSS130508:102149+414425	56419.5	2.713187044277351	0.7285072171739686	0.09	426.925	Ib-pec	0.387	1.0	0.392	1.0	0.387	1.0	0.364	1.0	0.392	1.0	0.394	1.0
SN2013gl	56424.5	3.0150562828202	0.35726065605066	0.0205	92.14	Ib	0.091	1.0	0.079	1.0	0.07	1.0	0.102	1.0	0.089	1.0	0.08	1.0
SN2013cq	56425.5	3.02181943367168	0.483437779882547	0.3399	1850.4	Ic BL	0.142	1.0	0.151	1.0	0.167	1.0	0.127	1.0	0.14	1.0	0.149	1.0
iPTF13beo	56433.5	4.24311357775471	0.249960140743718	0.091	431.957	Ibn	0.594	1.0	0.563	1.0	0.534	1.0	0.611	1.0	0.597	1.0	0.575	1.0
SN2013dg	56449.5	3.48491346186751	-0.123545070357143	0.265	1389.0	Super-Luminous Ic	0.414	1.0	0.505	1.0	0.592	1.0	0.361	1.0	0.455	1.0	0.505	1.0
SN2013dx	56474.5	3.792818630740177	0.27530823620958556	0.145	712.601	Ic	0.524	1.0	0.503	1.0	0.495	1.0	0.544	1.0	0.504	1.0	0.499	1.0
iPTF13bvn	56477.5	3.92699081698724	0.0328372548048068	0.00449	19.94	Ib	0.844	1.0	0.847	1.0	0.847	1.0	0.838	1.0	0.847	1.0	0.85	1.0
SN2013el	56484.5	0.8633562033198616	-0.12741921648288934	0.01748	78.759	Ib-pec	0.351	1.0	0.333	1.0	0.322	1.0	0.376	1.0	0.317	1.0	0.318	1.0
LSQ13bbv	56487.5	6.0130228833813	0.0672933509722064	0.05	230.0	Ib	0.863	1.0	0.85	1.0	0.832	1.0	0.866	1.0	0.869	1.0	0.857	1.0
iPTF13cbf	56496.5	6.07861817443542	0.249551248885071	0.039	178.563	Ib/c	0.481	1.0	0.476	1.0	0.464	1.0	0.49	1.0	0.478	1.0	0.477	1.0
iPTF13cab	56504.5	5.8176187292101	0.251941865146622	0.03	136.462	Ib/c	0.293	1.0	0.266	1.0	0.243	1.0	0.311	1.0	0.299	1.0	0.275	1.0
LSQ13bwg	56531.5	6.26464118387715	-0.0380714487501696	0.024	108.0	Ib/c	0.378	1.0	0.427	1.0	0.465	1.0	0.343	1.0	0.395	1.0	0.422	1.0
